0	6.49E+04	7.94E+04	2.48E+03	9.99E+03	1.65E+04	1.00E+00	3.12E+04	3.95E+04	9.35E+02
10	6.48E+04	8.17E+04	2.58E+03	1.07E+04	1.34E+04	8.00E+00	3.23E+04	4.04E+04	1.01E+03
20	6.21E+04	8.41E+04	2.37E+03	1.48E+04	1.47E+04	2.00E+00	3.39E+04	4.24E+04	9.29E+02
30	5.65E+04	7.97E+04	1.93E+03	2.29E+04	2.10E+04	2.60E+01	3.63E+04	4.43E+04	9.24E+02
40	4.97E+04	7.05E+04	1.40E+03	3.26E+04	3.28E+04	2.00E+02	3.96E+04	4.76E+04	8.47E+02
50	4.00E+04	6.02E+04	8.68E+02	4.48E+04	4.64E+04	5.44E+02	4.35E+04	5.16E+04	8.79E+02
60	3.01E+04	4.74E+04	3.91E+02	5.55E+04	6.06E+04	1.01E+03	4.59E+04	5.64E+04	1.06E+03
70	2.05E+04	3.40E+04	1.21E+02	6.25E+04	7.59E+04	1.59E+03	4.60E+04	5.96E+04	1.13E+03
80	1.39E+04	2.32E+04	1.60E+01	6.37E+04	9.14E+04	1.99E+03	4.42E+04	6.40E+04	1.30E+03
90	1.03E+04	1.63E+04	0.00E+00	6.56E+04	9.86E+04	2.28E+03	4.37E+04	6.62E+04	1.41E+03
100	1.06E+04	1.35E+04	3.00E+00	6.66E+04	1.02E+05	2.41E+03	4.40E+04	6.75E+04	1.50E+03
110	1.36E+04	1.49E+04	0.00E+00	6.28E+04	1.01E+05	2.36E+03	4.30E+04	6.72E+04	1.45E+03
120	1.91E+04	2.27E+04	4.30E+01	5.67E+04	9.52E+04	1.87E+03	4.14E+04	6.69E+04	1.28E+03
130	2.63E+04	3.30E+04	1.80E+02	4.93E+04	8.37E+04	1.40E+03	4.03E+04	6.40E+04	1.06E+03
140	3.58E+04	4.69E+04	5.10E+02	3.95E+04	7.02E+04	8.47E+02	3.78E+04	6.05E+04	8.35E+02
150	4.46E+04	5.99E+04	9.34E+02	3.01E+04	5.25E+04	4.05E+02	3.50E+04	5.63E+04	7.12E+02
160	5.49E+04	7.25E+04	1.66E+03	2.07E+04	3.88E+04	1.38E+02	3.39E+04	5.26E+04	8.88E+02
170	6.43E+04	8.47E+04	2.52E+03	1.44E+04	2.61E+04	2.80E+01	3.42E+04	4.92E+04	1.15E+03
180	6.94E+04	9.05E+04	3.09E+03	1.06E+04	1.75E+04	4.00E+00	3.38E+04	4.66E+04	1.32E+03
